"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,204900,199925,219950,219900,220000,225000,219950,219000,229000,219900,209500,199100,194900,198500,204900,209400,219000,218500,199900,195000,189900,199000,189925,189000,190000,199625,199500,194900,199900,209000,203950,189000,187200,194000,215000,209000,210000,223900,239000,245000,249000,249900,245000,249900,239900,239250,243450,253900,249900,250000,269900,275000,286500,279900,275000,284000,274900,279900,269900,267000,289000,3e+05,324900,320000,330000,334000,325000,315900,333750,339900,344999.5,339250,339000,349000,349999,369000,374990,374700,379000,374945,375000,375000,374990,365000,380000,398500,399000,399900
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,152900,154900,154900,150000,155000,157000,159000,159900,165000,164900,169000,170000,174000,169900,174900,175000,179999,185000,185000,185000,189900,189900,190000,189990,194900,197500,195500,195500,195000,194900,199000,199900,209000,209900,215000,219000,218800,210000,213000,218888,219900,224900,229000
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98000,99999,1e+05,106000,109900,109900,110000,115000,117500,114900,112000,112000,110000,105000,112000,115000,117900,120000,120000,125000,125000,129900,129900,129900,130000,134900,135000,137900,138500,137750,139900,139900,145000,149900,149900,149999,149850,149900,149900,150000,154900,156900
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,1095000,1075000,1045000,1055000,995000,975000,1049000,999000,1025000,1095000,1075000,1095000,1080000,1095000,1095000,1145000,1100000,1125000,1095000,1125000,1192500,1195000,1295000,1265000,1199000,1250000,1275000,1295000,1395000,1250000,1300000,1375000,1400000,1450000,1396500,1450000,1450000,1500000,1537500,1595000,1670000,1727500,1750000,1699000,1760000,1802500,2e+06,1995000,1820000,1907500,1822500,1795000,1849000,1850000,1800000,1803750,1850000,1822500,1780000,1835000,1850000,1895000
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798000,799450,799000,774975,720000,710000,710000,729000,749000,757500,775000,722500,715000,764500,773000,785500,804500,892000,889000,849000,799999.5,799000,849000,899000,899000,950000,998875,979000,935000,992500,999000,995000,998999,949499.5,918500,899950,939000,929450,899900,959500,939000,899000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,285000,265000,277450,285000,299000,295000,299000,305000,305000,299000,299900,299000,280000,305000,310000,315000,325000,327500,325000,325500,325000,329000,329000,331999,335000,335000,336000,340000,349945,350000,356500,369000,365000,370000,375000,379950,379000,380000,385000,399900,399999.5
"Upper East Side","New York","NY","New York","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000,1085000,1049000,1095000,1049000,995950,1079000,1095000,1192500,1200000,1195000,1150000,1170000,1195000,1175000,1195000,1185000,1200000,1245000,1299000,1395000,1395000,1450000,1399000,1400000,1395000,1369000,1350000,1450000,1350000,1440000,1550000,1599000,1625000,1649000,1650000,1695000,1695000,1690000,1605000,1595000,1595000,1699500,1795000,1775000,1799000,1975000,1995000,1795000,1875000,1795000,1750000,1749000,1749000,1712500,1715000,1750000,1750000,1750000,1795000,1750000,1779000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108000,110000,105700,109900,113500,114375,114990,116200,117950,124900,125000,128000,119000,117750,122700,125000,125000,125000,130000,135000,134999.5,137750,139900,136950,137500,139700,137900,140000,140000,144925,145000,149900,151200,155000,155000,158000,159900,159900,160000,165000,169999,173000
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358000,369000,399000,365000,372499.5,360000,337000,359999,365000,360000,365000,389000,419500,422500,419000,439000,399000,439000,397000,425000,439000,434000,447000,454500,449000,449999.5,449000,439999,445000,464500,509500,499000,525000,520000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,154900,159450,160000,149850,174350,179500,180000,180000,180000,174900,170000,179900,180000,179400,185950,180000,199900,199999,2e+05,2e+05,199900,214370,220000,220000,230000,235000,231990,239000,234945,235000,239900,239900,244000,241450,239994.5,245000,243000,249900,254900,255000,259000,260000,259999.5,264900,264350,265000,270000,272500,275000
